listing_id,date
44077,2011-03-20
44077,2011-03-28
44077,2011-04-21
44077,2011-05-13
44077,2011-05-17
44077,2011-06-06
44077,2011-06-12
44077,2011-06-17
44077,2011-06-20
44077,2011-06-28
44077,2011-07-05
44077,2011-07-30
44077,2011-08-02
44077,2011-08-12
44077,2011-08-18
44077,2011-08-21
44077,2011-08-24
44077,2011-09-11
44077,2011-09-17
44077,2011-10-04
44077,2011-10-22
44077,2011-11-20
44077,2011-12-19
44077,2012-01-23
44077,2012-03-06
44077,2012-03-12
44077,2012-03-26
44077,2012-04-25
44077,2012-05-03
44077,2012-05-18
44077,2012-05-27
44077,2012-07-04
44077,2012-07-19
44077,2012-07-22
44077,2012-08-21
44077,2012-08-28
44077,2012-09-03
44077,2012-09-10
44077,2013-03-16
44077,2013-03-24
44077,2013-03-27
44077,2013-04-08
44077,2013-05-17
44077,2013-05-22
44077,2013-06-17
44077,2013-07-01
44077,2013-07-23
44077,2013-08-22
44077,2013-08-28
44077,2013-09-18
44077,2013-11-22
44077,2013-11-29
44077,2014-02-18
44077,2014-04-17
44077,2014-05-12
44077,2014-05-21
44077,2014-05-25
44077,2014-06-04
44077,2014-06-09
44077,2014-06-18
44077,2014-07-02
44077,2014-07-09
44077,2014-07-14
44077,2014-07-22
44077,2014-08-05
44077,2014-09-06
44077,2014-10-12
44077,2014-11-04
44077,2014-11-08
44077,2014-12-12
44077,2015-02-23
44077,2015-04-06
44077,2015-04-20
44077,2015-04-28
44077,2015-05-01
44077,2015-05-27
44077,2015-06-10
44077,2015-06-15
44077,2015-06-19
44077,2015-06-23
44077,2015-07-06
44077,2015-07-16
44077,2015-07-27
44077,2015-08-02
44077,2015-08-10
44077,2015-08-14
44077,2015-08-17
44077,2015-09-14
44077,2015-09-21
44077,2015-10-16
44077,2015-10-24
44077,2015-10-29
44077,2015-11-02
44077,2015-11-09
44077,2016-02-16
44077,2016-03-16
44077,2016-04-04
44077,2016-04-19
44077,2016-05-02
44077,2016-05-17
44077,2016-05-24
44077,2016-05-27
44077,2016-05-30
44077,2016-06-04
44077,2016-06-19
44077,2016-06-27
44077,2016-07-04
44077,2016-07-11
44077,2016-07-24
44077,2016-08-01
44077,2016-08-06
44077,2016-08-12
44077,2016-08-16
44077,2016-08-26
44077,2016-08-29
44077,2016-09-06
44077,2016-09-13
44077,2017-03-18
44077,2017-03-22
44077,2017-05-29
44077,2017-06-02
44077,2017-06-06
44077,2017-06-29
44077,2017-07-10
44077,2017-08-28
44077,2017-09-02
44077,2017-09-06
44077,2017-09-20
44077,2017-10-02
44077,2017-10-09
44077,2017-10-17
44077,2017-11-27
44077,2017-12-04
44077,2018-01-26
44077,2018-02-06
44077,2018-02-12
44077,2018-02-17
44077,2018-02-27
44077,2018-03-08
44077,2018-03-13
44077,2018-03-19
44077,2018-03-27
44077,2018-04-02
44077,2018-04-22
44077,2018-04-28
44077,2018-05-03
44077,2018-05-28
44077,2018-05-31
44077,2018-06-05
44077,2018-06-09
44077,2018-06-12
44077,2018-06-15
44077,2018-06-19
44077,2018-06-23
44077,2018-06-29
44077,2018-07-07
44077,2018-07-11
44077,2018-07-16
44077,2018-07-19
44077,2018-07-25
44077,2018-08-05
44077,2018-08-16
44077,2018-08-25
44077,2018-08-29
44077,2018-09-03
44077,2018-09-06
44077,2018-09-14
44077,2018-09-22
44077,2018-09-25
44077,2018-10-09
44077,2018-10-18
44077,2018-10-23
44077,2018-11-02
44077,2018-11-06
44077,2018-11-13
44077,2018-11-17
44077,2018-11-20
44077,2018-11-27
44077,2018-12-02
44077,2018-12-09
44077,2019-02-02
44077,2019-02-11
44077,2019-02-15
44077,2019-02-18
44077,2019-02-26
44077,2019-03-04
44077,2019-03-09
44077,2019-03-23
44077,2019-03-31
44077,2019-04-08
44077,2019-04-16
44077,2019-04-22
44077,2019-04-27
44077,2019-05-03
44077,2019-05-07
44077,2019-05-19
44077,2019-05-22
44077,2019-06-05
44077,2019-06-11
44077,2019-06-14
44077,2019-06-26
44077,2019-07-08
44077,2019-07-24
44077,2019-08-08
44077,2019-08-17
44077,2019-08-25
44077,2019-08-29
44077,2019-09-12
44077,2019-09-15
44077,2019-09-19
44077,2019-09-22
